Vendor_ID,Vendor_Name,CAGE_Code,Contract_ID,Award_Date,Fiscal_Year,Region,Place_of_Performance_State,Contract_Type,PSC,NAICS,Small_Business_SetAside,Contract_Value,On_Time_Delivery_Percent,Cost_Overrun_Percent,Vendor_Satisfaction_Score,Performance_Risk_Flag,Vendor_Name_Standardized
36RYXL9LT,Zircon Inc,78K62,TIRHQ-22-XFCBLS,8/11/2023,2022,Midwest,TX,Fixed-Price with EPA,R499 Prof Services,541511,No,897390.69,93.4,0,3.02,Low,Zircon INC
O3Q3M64WV,PrimeSource Inc,DAAC5,TIRHQ-23-10MY8K,9/19/2024,2023,Southeast,MD,Labor-Hour,Y1DA Construction,541519,No,141821.98,87.9,0,3.28,Low,Primesource INC
0WAH7DWFR,Zircon Inc,6HWBW,TIRHQ-23-3FDVOH,7/6/2024,2023,Mid-Atlantic,NY,Cost-Plus,D301 IT Facility Mgmt,541611,No,1772734.56,71.7,12.5,2.61,Medium,Zircon INC
OE129G5XP,ClearPath Incorporated,6ELEP,TIRHQ-23-6SL8NL,4/7/2024,2023,Midwest,PA,Fixed-Price with EPA,Y1DA Construction,541519,No,900481.57,99,0,3.55,Low,Clearpath INC
A106MSL89,UrbanCore Corp,F0QPW,TIRHQ-23-8G57E9,4/10/2024,2023,Northeast,MD,Labor-Hour,7030 Info Tech HW,517111,No,537037.6,79.5,6.9,3.35,Medium,Urbancore CORP
DCCEIGKHY,Pinnacle LLC,55V0N,TIRHQ-23-95GQ46,11/27/2023,2023,Southeast,IL,Fixed-Price with EPA,D301 IT Facility Mgmt,541512,Yes,551019.09,92.2,9.9,3.48,Low,Pinnacle LLC
33OMBD4K3,UrbanCore Inc,67PT6,TIRHQ-23-9CKK64,4/26/2024,2023,Mid-Atlantic,MD,Firm-Fixed Price,7030 Info Tech HW,541519,Yes,170919.8,77.5,7.1,3.02,Medium,Urbancore INC
36RYXL9LT,Zircon Inc,78K62,TIRHQ-23-B9X4EE,1/25/2024,2023,Northeast,MD,Time & Materials,J070 Maintenance,541330,No,1311481.16,83.4,13.1,3.14,Low,Zircon INC
L4YLJPZJ7,Oakridge Corporation,VBFV3,TIRHQ-23-DBMPBZ,3/14/2024,2023,Southwest,VA,Labor-Hour,Y1DA Construction,517111,No,288150.98,92.6,0,3.32,Low,Oakridge CORP
L8Q660HBX,TITAN CORPORATION,TS5W6,TIRHQ-23-DLV6VK,8/31/2024,2023,West,GA,Time & Materials,7030 Info Tech HW,541330,Yes,1350752.19,70.2,20.3,3.09,Medium,Titan Corporation
WPGBTCLGV,DATABRIDGE INCORPORATED,Z6TM2,TIRHQ-23-E47M2F,2/15/2024,2023,Mid-Atlantic,IL,Fixed-Price with EPA,D301 IT Facility Mgmt,541519,No,324873.95,83.6,11.2,3.33,Low,Databridge Incorporated
O3Q3M64WV,PrimeSource Inc,DAAC5,TIRHQ-23-EBR1BR,6/17/2024,2023,Southeast,GA,Fixed-Price with EPA,D301 IT Facility Mgmt,518210,No,839402.81,76.6,10,3.02,Medium,Primesource INC
YHHFPU1JA,Lumina Group,UHFGY,TIRHQ-23-FPSSEF,6/23/2024,2023,Southwest,PA,Cost-Plus,Y1DA Construction,541511,No,717905.43,78.3,18.2,3.2,Medium,Lumina Group
ZCW8W5YFV,Westward Corporation,OFQ8A,TIRHQ-23-HKVC4X,5/21/2024,2023,Midwest,UT,Labor-Hour,D301 IT Facility Mgmt,541519,No,103276.78,88.5,7.4,3.46,Low,Westward CORP
2TN9QJ3U3,Cypress Inc,LQ2QY,TIRHQ-23-IJ3ALW,4/17/2024,2023,Southeast,MO,Fixed-Price with EPA,D399 IT Services,518210,No,3564871.69,63.3,24.1,2.8,High,Cypress INC
6PSDTQX1E,NorthStar Group,UG0O0,TIRHQ-23-K8B6BP,5/27/2024,2023,West,GA,Time & Materials,D301 IT Facility Mgmt,518210,No,877056.23,75.5,18.9,3.15,Medium,Northstar Group
JF2RPF8W0,Zircon Corp,XQ25K,TIRHQ-23-NE4OQW,1/8/2024,2023,Midwest,PA,Fixed-Price with EPA,D301 IT Facility Mgmt,541519,Yes,727901.94,88.2,6.2,3.67,Low,Zircon CORP
XRGA9UCOB,Kingsley Inc,19DBB,TIRHQ-23-QSJ020,4/19/2024,2023,Mid-Atlantic,NY,Cost-Plus,D301 IT Facility Mgmt,541330,No,1253091.77,67.6,15.7,2.81,High,Kingsley INC
VUE3FKSGS,DataBridge Corporation,W6C1V,TIRHQ-23-SCE18N,8/6/2024,2023,Mid-Atlantic,MO,Firm-Fixed Price,D301 IT Facility Mgmt,541611,No,306430.73,91.8,3,3.61,Low,Databridge CORP
O3Q3M64WV,PrimeSource Inc,DAAC5,TIRHQ-23-SZTJ4O,10/22/2023,2023,Mid-Atlantic,GA,Labor-Hour,D301 IT Facility Mgmt,541330,No,202684.89,85.9,5.3,2.88,Low,Primesource INC
BM2ZEIO7O,ForgeTech Systems,T9OTG,TIRHQ-23-VNZ8DR,12/23/2023,2023,Mid-Atlantic,GA,Cost-Plus,R499 Prof Services,541511,No,1522029.35,78.3,5.4,3.59,Medium,Forgetech Systems
JS7HVHVFX,Yardley Inc,0WVKZ,TIRHQ-23-VQQ8D9,5/6/2024,2023,Northeast,MO,Firm-Fixed Price,7030 Info Tech HW,518210,No,408088.53,74.6,8.2,3.29,Medium,Yardley INC
XB74BSOZI,MaplePark Corporation,AUX8P,TIRHQ-23-VZU6MG,12/2/2023,2023,Northeast,MD,Time & Materials,D399 IT Services,541512,No,571917.72,70,19,3.04,Medium,Maplepark CORP
RELFNCVUM,Greenfield Group,LPKY5,TIRHQ-23-X8ZS36,4/29/2024,2023,Southwest,CA,Cost-Plus,7030 Info Tech HW,541519,No,1181319.19,65.5,9.5,3,High,Greenfield Group
0WAH7DWFR,Zircon Inc,6HWBW,TIRHQ-23-XRXNBF,10/11/2023,2023,Southwest,CA,Fixed-Price with EPA,R499 Prof Services,518210,Yes,2188021.34,75.4,11.2,3.15,Medium,Zircon INC
2GGZ97W7M,HIGHPOINT INC,6VTHI,TIRHQ-23-Y5GPJ2,4/29/2024,2023,Midwest,MD,Cost-Plus,D399 IT Services,541611,No,2153259.23,47.4,30.2,2.62,High,Highpoint INC
IJ3GVGQ8S,EdgeWorks  LLC,T8FRF,TIRNO-21-3B977H,9/26/2022,2021,West,IL,Time & Materials,R499 Prof Services,236220,No,383433.12,81.9,11.9,3.5,Medium,Edgeworks LLC
BGEEG13KX,Xenon Group,UTRO8,TIRNO-21-3IDN6B,6/30/2022,2021,Midwest,UT,Labor-Hour,D399 IT Services,518210,Yes,328802.8,82.7,9.6,3.27,Low,Xenon Group
A106MSL89,UrbanCore Corp,F0QPW,TIRNO-21-6HKJ2F,2/5/2022,2021,Midwest,IL,Labor-Hour,7030 Info Tech HW,541511,No,798781.66,80.5,9,3.22,Medium,Urbancore CORP
S2UNY8VEP,Summit Corporation,PI2YQ,TIRNO-21-7Y685H,2/8/2022,2021,Southwest,IL,Cost-Plus,D301 IT Facility Mgmt,541512,No,4551915.22,50.6,35.7,2.43,High,Summit CORP
OO6EFJU9W,UrbanCore Ltd,HVKET,TIRNO-21-888XZJ,5/29/2022,2021,Midwest,MO,Cost-Plus,D399 IT Services,541511,No,716935.45,72,8,3.05,Medium,Urbancore LTD
H0EQG80L2,Kingsley Corporation,3F7L0,TIRNO-21-8KBWGX,12/30/2021,2021,Southeast,VA,Fixed-Price with EPA,J070 Maintenance,541519,No,463101.44,90,6.1,3.53,Low,Kingsley CORP
MNOPWYZAS,Beacon Inc,ODCCZ,TIRNO-21-92J4ZB,12/1/2021,2021,Mid-Atlantic,CA,Time & Materials,J070 Maintenance,541511,Yes,587320.89,81.3,7.2,3.29,Medium,Beacon INC
RYLATX7EM,DATABRIDGE CORP,F2HSA,TIRNO-21-BQFIH5,9/7/2022,2021,Northeast,NY,Cost-Plus,D399 IT Services,518210,No,1187309.29,79.7,14.1,3.18,Medium,Databridge CORP
OE129G5XP,ClearPath Incorporated,6ELEP,TIRNO-21-BVPS69,5/28/2022,2021,Midwest,CA,Labor-Hour,D399 IT Services,518210,No,584535.24,84,0.2,3.19,Low,Clearpath INC
A106MSL89,UrbanCore Corp,F0QPW,TIRNO-21-BX7L3O,8/4/2022,2021,Mid-Atlantic,TX,Firm-Fixed Price,D301 IT Facility Mgmt,541519,Yes,476331.81,81,8.7,3.49,Medium,Urbancore CORP
QTWFKK19Y,MaplePark LLC,JL4CT,TIRNO-21-DC5E6Z,1/6/2022,2021,Southwest,NY,Cost-Plus,J070 Maintenance,541611,No,2435912.9,63.6,25.3,2.61,High,Maplepark LLC
2TN9QJ3U3,CYPRESS  INC,LQ2QY,TIRNO-21-EJV2WK,7/22/2022,2021,Southwest,MD,Fixed-Price with EPA,D301 IT Facility Mgmt,518210,No,435447.1,91.2,9,3.23,Low,Cypress INC
0WAH7DWFR,Zircon Inc,6HWBW,TIRNO-21-G445MB,1/24/2022,2021,West,MD,Firm-Fixed Price,D399 IT Services,541511,Yes,495004.71,85.5,8.6,3.79,Low,Zircon INC
BM2ZEIO7O,Forgetech Systems,T9OTG,TIRNO-21-J9B58H,9/19/2022,2021,Northeast,CA,Labor-Hour,7030 Info Tech HW,541611,Yes,232488.84,89.7,7.4,3.58,Low,Forgetech Systems
NQ2YAO6VY,XENON  INCORPORATED,OL74N,TIRNO-21-MLAEJN,11/9/2021,2021,Southwest,PA,Fixed-Price with EPA,R499 Prof Services,541611,No,409438.97,77.4,5.1,3.43,Medium,Xenon Incorporated
NWHB6E5KA,IronGate Incorporated,6EH5J,TIRNO-21-OU72RZ,3/26/2022,2021,Mid-Atlantic,NY,Time & Materials,D301 IT Facility Mgmt,541511,No,439535.87,69.2,26,2.95,High,Irongate INC
D1TL6QNFE,Silverline LTD.,L1IJG,TIRNO-21-PL2DYC,3/31/2022,2021,Southeast,NY,Time & Materials,7030 Info Tech HW,517111,No,163987.84,69.2,12.1,2.84,High,Silverline LTD
L4YLJPZJ7,Oakridge Corporation,VBFV3,TIRNO-21-QKCPGM,6/16/2022,2021,Midwest,MO,Cost-Plus,D399 IT Services,541512,Yes,1842658.49,68.6,13.6,3.4,High,Oakridge CORP
U2N0OWZ6R,Nexus Group,UEELX,TIRNO-21-UBGA0T,10/18/2021,2021,Southeast,TX,Firm-Fixed Price,Y1DA Construction,541512,No,260564.92,86.9,0,3.51,Low,Nexus Group
0WAH7DWFR,Zircon Inc,6HWBW,TIRNO-21-VGGBQI,6/14/2022,2021,Northeast,TX,Labor-Hour,R499 Prof Services,541611,Yes,284513.21,84.7,6,3.66,Low,Zircon INC
RELFNCVUM,Greenfield Group,LPKY5,TIRNO-21-VIF7DF,11/12/2021,2021,Northeast,UT,Fixed-Price with EPA,Y1DA Construction,517111,Yes,1318260.51,93.6,6.7,3.64,Low,Greenfield Group
IJ3GVGQ8S,EDGEWORKS LLC,T8FRF,TIRNO-21-WM3BCM,2/7/2022,2021,Southwest,MD,Cost-Plus,Y1DA Construction,518210,Yes,1091816.3,85.6,23.7,3.11,Medium,Edgeworks LLC
Q13SFNDPM,Umbra Ltd,V3Y7U,TIRNO-21-X03U9M,5/7/2022,2021,Midwest,CA,Time & Materials,7030 Info Tech HW,541330,Yes,393090.8,71.9,19.5,2.93,Medium,Umbra LTD
Q13SFNDPM,Umbra Ltd,V3Y7U,TIRNO-21-XHO4K6,7/20/2022,2021,Northeast,TX,Cost-Plus,J070 Maintenance,517111,Yes,803725.45,80.7,14.9,3.16,Medium,Umbra LTD
EWI4VJEIF,Vector Ltd,XZWDJ,TIRNO-21-ZULI7U,4/27/2022,2021,Mid-Atlantic,IL,Cost-Plus,D399 IT Services,518210,No,766352.22,73,14.2,2.96,Medium,Vector LTD
4AV3V81IJ,Oakridge LLC,JXXUP,TIRNO-22-0SPSJK,11/25/2022,2022,Southwest,VA,Firm-Fixed Price,D301 IT Facility Mgmt,541330,No,258504.37,91.3,9.6,3.34,Low,Oakridge LLC
NWHB6E5KA,IronGate Incorporated,6EH5J,TIRNO-22-0W0D61,6/24/2023,2022,Midwest,VA,Labor-Hour,7030 Info Tech HW,541512,No,417330.88,75.5,7.6,3.17,Medium,Irongate INC
5A9RA69DX,BlueSky Corporation,9HROT,TIRNO-22-7P6NJV,10/24/2022,2022,Mid-Atlantic,UT,Cost-Plus,Y1DA Construction,541511,No,1434312.52,59.2,8.3,3.19,High,Bluesky CORP
Q13SFNDPM,Umbra Ltd,V3Y7U,TIRNO-22-A75ZQ2,4/19/2023,2022,Southwest,NY,Firm-Fixed Price,R499 Prof Services,236220,No,1018746.64,91.5,0,3.09,Low,Umbra LTD
JF2RPF8W0,ZIRCON CORP,XQ25K,TIRNO-22-ATVVUX,8/30/2023,2022,West,MO,Cost-Plus,R499 Prof Services,541519,Yes,920725.65,73.6,10.6,3.25,Medium,Zircon CORP
J6EW0F8I1,Vanguard Ltd,2CSIP,TIRNO-22-FO9RT7,9/22/2023,2022,Mid-Atlantic,TX,Labor-Hour,R499 Prof Services,541512,No,82289.43,88.4,0,2.96,Low,Vanguard LTD
MNOPWYZAS,Beacon Inc,ODCCZ,TIRNO-22-FREH0R,9/7/2023,2022,Southwest,MO,Firm-Fixed Price,7030 Info Tech HW,541511,Yes,241304.91,82.8,13.9,3.15,Low,Beacon INC
ECFAHR6VF,PrimeSource LLC,THXTY,TIRNO-22-FZVEP0,8/23/2023,2022,Midwest,IL,Labor-Hour,7030 Info Tech HW,541519,Yes,654784.19,85.3,0.6,3.11,Low,Primesource LLC
A106MSL89,UrbanCore Corp,F0QPW,TIRNO-22-GV1USJ,5/7/2023,2022,West,PA,Labor-Hour,Y1DA Construction,541512,Yes,544726.58,81.4,0.8,3.56,Medium,Urbancore CORP
ZI49AHV5O,Nexus Systems,GADYZ,TIRNO-22-HUP65R,3/30/2023,2022,Southwest,PA,Firm-Fixed Price,D399 IT Services,541512,No,443206.8,85.6,0,3.52,Low,Nexus Systems
Q13SFNDPM,Umbra Ltd,V3Y7U,TIRNO-22-J5J4JX,5/19/2023,2022,Southwest,VA,Time & Materials,D399 IT Services,541512,Yes,190312.5,72.8,25.3,3.34,High,Umbra LTD
YY8BJJ2HO,Databridge Corp,FLJKW,TIRNO-22-JQGFQ5,11/11/2022,2022,Northeast,TX,Cost-Plus,D399 IT Services,541519,No,1048111.72,60.8,11.1,3.44,High,Databridge CORP
02ZJ2G49Y,Falcon Corporation,91JC5,TIRNO-22-SX4YQC,3/20/2023,2022,Southeast,IL,Time & Materials,R499 Prof Services,541512,No,584484.05,70.5,13.7,2.95,Medium,Falcon CORP
RELFNCVUM,GREENFIELD  GROUP,LPKY5,TIRNO-22-TT93PD,3/14/2023,2022,Northeast,MO,Time & Materials,D399 IT Services,541519,No,485539.55,59.2,19.1,3.69,High,Greenfield Group
VU7MZN3VV,Harbor Incorporated,6YT7W,TIRNO-22-VBEOP0,2/13/2023,2022,Northeast,PA,Labor-Hour,R499 Prof Services,236220,Yes,170341.55,94.4,7.6,3.67,Low,Harbor INC
XB74BSOZI,MaplePark Corporation,AUX8P,TIRNO-22-YK84CU,11/23/2022,2022,Southeast,MD,Fixed-Price with EPA,J070 Maintenance,517111,No,882479.48,99,5.9,3.56,Low,Maplepark CORP
BRR9HW9O6,PINNACLE CORPORATION,FY3IP,TIRNO-23-0XL0RS,3/20/2024,2023,Midwest,TX,Firm-Fixed Price,Y1DA Construction,236220,No,945611.31,83.4,0,3.5,Low,Pinnacle Corporation
4AV3V81IJ,Oakridge LLC,JXXUP,TIRNO-23-2L4IV6,12/25/2023,2023,Southwest,MD,Fixed-Price with EPA,D399 IT Services,541519,No,1066556.5,76.7,8.1,2.88,Medium,Oakridge LLC
UXHJWWXM1,Zircon Corporation,08VTZ,TIRNO-23-5IRI6V,9/7/2024,2023,West,TX,Fixed-Price with EPA,R499 Prof Services,517111,No,494054.01,94.9,2.5,3.13,Low,Zircon CORP
BRR9HW9O6,Pinnacle Corporation,FY3IP,TIRNO-23-60FBPD,6/24/2024,2023,Midwest,PA,Labor-Hour,D399 IT Services,541519,No,727712.48,89.6,0.6,3.54,Low,Pinnacle CORP
U2N0OWZ6R,Nexus Group,UEELX,TIRNO-23-7HJXSM,10/29/2023,2023,West,GA,Time & Materials,D399 IT Services,541611,No,478855.24,70.6,11.1,3.19,Medium,Nexus Group
J6EW0F8I1,Vanguard Ltd,2CSIP,TIRNO-23-81RRW3,5/21/2024,2023,West,MO,Fixed-Price with EPA,J070 Maintenance,518210,Yes,340223.83,92.9,12.9,2.82,Low,Vanguard LTD
36RYXL9LT,Zircon Inc,78K62,TIRNO-23-8KPVII,12/10/2023,2023,Southeast,GA,Fixed-Price with EPA,D301 IT Facility Mgmt,517111,Yes,472662.1,78.2,3.3,3.85,Medium,Zircon INC
RYLATX7EM,DataBridge Corp,F2HSA,TIRNO-23-8O5J8H,11/25/2023,2023,West,IL,Labor-Hour,J070 Maintenance,517111,No,495454.28,92.5,6,3.1,Low,Databridge CORP
ZI49AHV5O,Nexus Systems,GADYZ,TIRNO-23-8WAVRJ,5/26/2024,2023,Southwest,IL,Fixed-Price with EPA,D399 IT Services,541330,No,354157.03,77,10.7,2.87,Medium,Nexus Systems
RXR7RW4CI,Insight Ltd,QY1IB,TIRNO-23-AD400O,8/15/2024,2023,Southwest,NY,Labor-Hour,Y1DA Construction,517111,Yes,146197.6,79.8,0,3.27,Medium,Insight LTD
5999ZMWZT,Keystone Corp,OF9F0,TIRNO-23-I59U0D,3/26/2024,2023,Midwest,GA,Fixed-Price with EPA,D301 IT Facility Mgmt,541611,Yes,981513.69,81.5,3,3.17,Medium,Keystone CORP
WPGBTCLGV,DataBridge Incorporated,Z6TM2,TIRNO-23-JNBVJ3,6/1/2024,2023,Southwest,CA,Cost-Plus,7030 Info Tech HW,541611,No,1258991.16,73.2,16.7,3.44,Medium,Databridge INC
Q13SFNDPM,Umbra  Ltd,V3Y7U,TIRNO-23-KCKSX8,1/4/2024,2023,Northeast,VA,Cost-Plus,D399 IT Services,541519,No,858858.92,67.3,18.1,3,High,Umbra LTD
WPGBTCLGV,DataBridge Incorporated,Z6TM2,TIRNO-23-M3MUM8,3/20/2024,2023,Mid-Atlantic,CA,Time & Materials,Y1DA Construction,541330,Yes,259053.23,85.3,19.3,3.34,Medium,Databridge INC
DCCEIGKHY,Pinnacle LLC,55V0N,TIRNO-23-MNY4YZ,7/10/2024,2023,West,VA,Time & Materials,D399 IT Services,518210,Yes,222345.88,62.4,18,2.99,High,Pinnacle LLC
0WAH7DWFR,ZIRCON INC,6HWBW,TIRNO-23-NME0Z4,2/29/2024,2023,Mid-Atlantic,GA,Time & Materials,D399 IT Services,541519,No,717461.16,70.3,12.8,3.12,Medium,Zircon INC
NWHB6E5KA,IronGate Incorporated,6EH5J,TIRNO-23-PFU5LD,1/16/2024,2023,Midwest,VA,Labor-Hour,D301 IT Facility Mgmt,541611,No,1231692.69,76.2,2,2.96,Medium,Irongate INC
6PSDTQX1E,NorthStar Group,UG0O0,TIRNO-23-RAWD86,12/26/2023,2023,Mid-Atlantic,IL,Firm-Fixed Price,R499 Prof Services,541611,Yes,1460771.7,88,7.3,3.67,Low,Northstar Group
H0EQG80L2,Kingsley Corporation,3F7L0,TIRNO-23-RYIOAI,8/27/2024,2023,Midwest,NY,Labor-Hour,Y1DA Construction,517111,No,621414.2,95.3,0.4,3.51,Low,Kingsley CORP
VU7MZN3VV,HARBOR INCORPORATED,6YT7W,TIRNO-23-S8PHEI,3/6/2024,2023,West,MD,Fixed-Price with EPA,7030 Info Tech HW,518210,No,328827.2,83.2,9.1,3.74,Low,Harbor Incorporated
BRR9HW9O6,Pinnacle Corporation,FY3IP,TIRNO-23-ULG7RC,4/1/2024,2023,West,TX,Labor-Hour,Y1DA Construction,541611,No,644349.14,83.5,1.9,2.96,Low,Pinnacle CORP
L4YLJPZJ7,OAKRIDGE CORPORATION,VBFV3,TIRNO-23-WUXCQQ,1/26/2024,2023,Southwest,PA,Labor-Hour,Y1DA Construction,541512,No,440101.39,99,2.9,3.96,Low,Oakridge Corporation
MNOPWYZAS,BEACON  INC,ODCCZ,TIRNO-23-YO15MP,8/27/2024,2023,Southeast,CA,Fixed-Price with EPA,R499 Prof Services,541512,No,690274.1,87.4,6.7,3.5,Low,Beacon INC
ZI49AHV5O,Nexus Systems,GADYZ,TIRNO-23-YPDGSI,1/24/2024,2023,Midwest,CA,Firm-Fixed Price,D399 IT Services,541611,Yes,275058.05,77.3,7.6,3.33,Medium,Nexus Systems
33OMBD4K3,UrbanCore Inc,67PT6,TIRNO-23-ZYH394,8/6/2024,2023,Midwest,UT,Time & Materials,D399 IT Services,236220,No,169413.87,64.9,13.8,3.04,High,Urbancore INC
2HPD7E20N,Xenon LTD.,PVJE4,TIRSE-21-16HXTG,8/17/2022,2021,West,NY,Fixed-Price with EPA,Y1DA Construction,541330,No,2290343.45,63.8,18.1,2.89,High,Xenon LTD
YHHFPU1JA,Lumina Group,UHFGY,TIRSE-21-1ZM5VG,8/24/2022,2021,West,TX,Firm-Fixed Price,J070 Maintenance,541611,No,340480.32,83.6,0,2.93,Low,Lumina Group
D1TL6QNFE,Silverline Ltd,L1IJG,TIRSE-21-2EY1UI,7/20/2022,2021,West,MO,Cost-Plus,D301 IT Facility Mgmt,518210,No,1194090.47,65,16.3,3.03,High,Silverline LTD
L4YLJPZJ7,Oakridge Corporation,VBFV3,TIRSE-21-2I6CBW,7/5/2022,2021,Southwest,TX,Fixed-Price with EPA,D399 IT Services,517111,Yes,1073498.39,81.9,5.8,3.25,Medium,Oakridge CORP
IJ3GVGQ8S,EdgeWorks LLC,T8FRF,TIRSE-21-3A4Q06,4/1/2022,2021,Northeast,GA,Time & Materials,7030 Info Tech HW,541519,Yes,693334.84,79,21.9,3.38,Medium,Edgeworks LLC
JS7HVHVFX,Yardley Inc,0WVKZ,TIRSE-21-45O7WW,11/22/2021,2021,Southwest,UT,Time & Materials,D301 IT Facility Mgmt,541512,No,719916.52,69.4,17.2,2.81,High,Yardley INC
IJ3GVGQ8S,EdgeWorks LLC,T8FRF,TIRSE-21-6W2E6T,11/28/2021,2021,West,PA,Firm-Fixed Price,Y1DA Construction,518210,Yes,264920.89,86,5.2,3.65,Low,Edgeworks LLC
C3G3E1689,Evergreen Ltd,PH54F,TIRSE-21-7WWOFR,6/8/2022,2021,Southeast,MD,Labor-Hour,D399 IT Services,541511,No,373360.77,71.1,3,2.99,Medium,Evergreen LTD
36RYXL9LT,ZIRCON INC,78K62,TIRSE-21-8B0G10,6/23/2022,2021,Midwest,GA,Firm-Fixed Price,Y1DA Construction,541330,Yes,295935.91,83.9,0.9,3.46,Low,Zircon INC
VUE3FKSGS,DataBridge Corporation,W6C1V,TIRSE-21-9VIB87,10/9/2021,2021,Northeast,IL,Time & Materials,7030 Info Tech HW,541512,No,1194612.58,79.8,7.4,3.5,Medium,Databridge CORP
JS7HVHVFX,YARDLEY INC,0WVKZ,TIRSE-21-BF2PUW,5/3/2022,2021,West,MO,Firm-Fixed Price,D301 IT Facility Mgmt,541611,No,672232.51,79.3,0,3.49,Medium,Yardley INC
2HPD7E20N,Xenon Ltd,PVJE4,TIRSE-21-C3Q96T,8/25/2022,2021,Southeast,VA,Firm-Fixed Price,D301 IT Facility Mgmt,541611,No,636738.48,79.4,5.2,3.06,Medium,Xenon LTD
JS7HVHVFX,Yardley Inc,0WVKZ,TIRSE-21-DASI43,8/29/2022,2021,Southeast,MO,Labor-Hour,J070 Maintenance,541512,Yes,1610081.38,92.3,0,3.51,Low,Yardley INC
UXHJWWXM1,Zircon Corporation,08VTZ,TIRSE-21-FBGVOQ,3/21/2022,2021,Midwest,TX,Cost-Plus,7030 Info Tech HW,236220,No,3377072.84,54.5,31.1,2.75,High,Zircon CORP
MNOPWYZAS,Beacon Inc,ODCCZ,TIRSE-21-GL2CH5,6/17/2022,2021,Southeast,IL,Fixed-Price with EPA,D399 IT Services,517111,No,2563808.47,66.6,25.9,2.81,High,Beacon INC
XV144MTVF,Yellowfin Group,KLMUX,TIRSE-21-HEGJD7,9/1/2022,2021,Mid-Atlantic,MD,Fixed-Price with EPA,R499 Prof Services,518210,Yes,390278.54,77.1,0,3.88,Medium,Yellowfin Group
0WAH7DWFR,Zircon Inc,6HWBW,TIRSE-21-HWTJCU,11/7/2021,2021,Mid-Atlantic,PA,Fixed-Price with EPA,Y1DA Construction,541511,Yes,466490.52,87.2,17.8,3.75,Medium,Zircon INC
02ZJ2G49Y,Falcon Corporation,91JC5,TIRSE-21-I2I8DZ,12/18/2021,2021,Southeast,IL,Fixed-Price with EPA,Y1DA Construction,236220,No,1135826.33,88.2,3.9,3.44,Low,Falcon CORP
0WAH7DWFR,Zircon Incorporated,6HWBW,TIRSE-21-J7SP3H,9/23/2022,2021,Midwest,GA,Labor-Hour,7030 Info Tech HW,541511,Yes,350800.83,86.8,4.4,3.39,Low,Zircon INC
L4YLJPZJ7,Oakridge Corporation,VBFV3,TIRSE-21-Q5KC31,11/9/2021,2021,West,UT,Time & Materials,Y1DA Construction,236220,Yes,174900.68,75.2,19.3,3.12,Medium,Oakridge CORP
JF2RPF8W0,Zircon Corp,XQ25K,TIRSE-21-RDYXNY,11/1/2021,2021,West,TX,Firm-Fixed Price,R499 Prof Services,518210,No,1805069.5,96.3,2.9,3.7,Low,Zircon CORP
RS5TIAB4X,ClearPath Systems,B54CJ,TIRSE-21-RQW8F0,12/20/2021,2021,Southwest,MD,Cost-Plus,D301 IT Facility Mgmt,236220,No,1112612.14,71.3,20.7,2.72,Medium,Clearpath Systems
VU7MZN3VV,Harbor  Incorporated,6YT7W,TIRSE-21-S0TR17,5/8/2022,2021,Northeast,NY,Time & Materials,Y1DA Construction,541330,No,439993.79,66.4,18.5,3.23,High,Harbor INC
YHHFPU1JA,Lumina Group,UHFGY,TIRSE-21-TR2CDU,8/27/2022,2021,Mid-Atlantic,PA,Labor-Hour,R499 Prof Services,541511,No,212115.08,91.4,4.1,3.46,Low,Lumina Group
L4YLJPZJ7,Oakridge Corporation,VBFV3,TIRSE-21-V5PD64,9/15/2022,2021,Mid-Atlantic,MO,Fixed-Price with EPA,R499 Prof Services,541611,No,2461560.6,72.7,15.5,3.02,Medium,Oakridge CORP
33OMBD4K3,UrbanCore Inc,67PT6,TIRSE-21-V7M3YW,6/1/2022,2021,Northeast,UT,Cost-Plus,R499 Prof Services,541519,No,643719.22,80.4,16.1,3.25,Medium,Urbancore INC
ZCW8W5YFV,Westward Corporation,OFQ8A,TIRSE-21-VO77QP,6/9/2022,2021,Midwest,GA,Time & Materials,R499 Prof Services,517111,No,247683.87,81.3,17.2,3.32,Medium,Westward CORP
ECFAHR6VF,PrimeSource LLC,THXTY,TIRSE-21-W3E2PG,6/7/2022,2021,West,IL,Labor-Hour,D399 IT Services,518210,Yes,581260.22,83.5,4.6,3.41,Low,Primesource LLC
HNLZRG5GH,Evergreen Ltd,TL9XU,TIRSE-21-YQMJSF,10/24/2021,2021,Midwest,GA,Cost-Plus,D301 IT Facility Mgmt,541330,No,5324953.46,54.3,25.2,2.56,High,Evergreen LTD
2GGZ97W7M,HIGHPOINT INC,6VTHI,TIRSE-21-YZES6A,6/29/2022,2021,West,VA,Cost-Plus,D399 IT Services,236220,Yes,294240.55,69.4,12.9,3.18,High,Highpoint INC
36RYXL9LT,Zircon Inc,78K62,TIRSE-22-0FGV3H,4/2/2023,2022,Midwest,IL,Labor-Hour,R499 Prof Services,541511,Yes,306385.23,86.1,0,3.81,Low,Zircon INC
WPGBTCLGV,DataBridge Incorporated,Z6TM2,TIRSE-22-0JOFZU,6/27/2023,2022,West,NY,Cost-Plus,J070 Maintenance,541511,Yes,3855407.61,63.1,25.7,2.88,High,Databridge INC
